Business Name,Category,City,State/Province,Country,Phone,Contact Name,Notes
"Westside Pet Grooming",Pet Grooming,Kamloops,British Columbia,Canada,(250) 374-6612,Tara Bowen,Instagram only.
"Iron Works Gym",Gym/Fitness,Youngstown,Ohio,USA,(330) 747-2281,Tony Ferraro,Old Yellowpages listing. No website.
"Prairie Rose Florist",Florist,Regina,Saskatchewan,Canada,(306) 525-4490,Helen Dubois,Phone orders only.
"Appalachian Tree Service",Tree Service,Knoxville,Tennessee,USA,(865) 523-7745,Clint Boggs,Nextdoor referrals only.
"Second Chance Thrift",Thrift Store,Thunder Bay,Ontario,Canada,(807) 344-9917,Carol Stein,No online presence at all.
"Gulf Coast Gutters",Gutters/Eavestrough,Mobile,Alabama,USA,(251) 433-6622,Ray Dupont,Door-to-door flyers.
"Pines Auto Body",Auto Body,Prince George,British Columbia,Canada,(250) 564-3381,Frank Arsenault,Google Maps only.
"Lakeview Landscaping",Landscaping,Madison,Wisconsin,USA,(608) 255-8847,Eric Sorensen,Lawn signs and referrals.
"Golden Gate Alterations",Tailoring/Alterations,Stockton,California,USA,(209) 943-5521,Mrs. Kim Park,Word-of-mouth. No web.
"River City Catering",Catering,Chattanooga,Tennessee,USA,(423) 267-4493,Donna Reston,Listed on The Knot but no own site.
"Northern Roots Massage",Massage Therapy,Red Deer,Alberta,Canada,(403) 346-2218,Lisa Bourque,Jane App booking only.
"Sunset Pool Service",Pool Maintenance,Scottsdale,Arizona,USA,(480) 941-7763,Gary Nichols,Postcards and flyers.
"Cornerstone Masonry",Masonry/Stonework,Hamilton,Ontario,Canada,(905) 527-6634,Paul Visconti,HomeStars and referrals.
"Midtown Music Lessons",Music School,Shreveport,Louisiana,USA,(318) 222-8814,Angela Fontenot,Facebook group only.
"Eco Clean Laundry",Laundromat,Nanaimo,British Columbia,Canada,(250) 753-4491,John Chu,No digital presence.
"Lone Star Auto Glass",Auto Glass,Amarillo,Texas,USA,(806) 374-9928,Dale Patterson,Craigslist ads.
"Valley View Veterinary",Veterinarian,Kamloops,British Columbia,Canada,(250) 828-6612,Dr. Susan Hartley,Google Maps + Yellow Pages.
"Riverside Diner",Diner/Restaurant,Eau Claire,Wisconsin,USA,(715) 835-4422,Bob & Marcy Strand,No website. Facebook page.
"Kingsway Tattoo",Tattoo Parlour,Edmonton,Alberta,Canada,(780) 424-8839,Carlos Reyes,Instagram only.
"Piedmont Pest Control",Pest Control,Winston-Salem,North Carolina,USA,(336) 722-6647,Roger Hicks,Yellow Pages listing.
"Harbor Freight Repairs",Small Engine Repair,Halifax,Nova Scotia,Canada,(902) 453-7723,Gord MacIntyre,No web presence.
"Desert Bloom Catering",Catering,El Paso,Texas,USA,(915) 532-8861,Maria Espinoza,Word-of-mouth.
"Fir Tree Wellness",Massage/Wellness,Victoria,British Columbia,Canada,(250) 383-9944,Amber Russell,Jane App only. No own website.
"Three Rivers Pizza",Pizzeria,Pittsburgh,Pennsylvania,USA,(412) 681-3372,Marco DiLuca,Facebook and phone orders only.
"Northern Pride Auto",Auto Sales/Used Cars,Timmins,Ontario,Canada,(705) 268-5534,Blake Fontaine,Kijiji ads only.
"Sun Valley Dog Wash",Dog Grooming,Boise,Idaho,USA,(208) 336-7721,Amber Jo Stiles,Facebook page.
"Cariboo Welding",Welding/Fabrication,Williams Lake,British Columbia,Canada,(250) 392-4481,Darren Holt,No digital presence whatsoever.
"Magnolia Massage",Massage Therapy,Jackson,Mississippi,USA,(601) 948-6638,Tamara Cross,Square booking only.
"Yukon Baked Goods",Bakery,Whitehorse,Yukon,Canada,(867) 633-4421,Fiona Mackay,Farmers market vendor only.
"Heritage Painting Co.",Painting/Decorating,London,Ontario,Canada,(519) 672-8843,Grant Morrison,Kijiji and yard signs.
"Basin Bookkeeping",Bookkeeping/Accounting,Great Falls,Montana,USA,(406) 727-4459,Sheila Andersen,Yellow Pages listing.
"Oakridge Family Dental",Dentist,Oakville,Ontario,Canada,(905) 845-7732,Dr. Ama Osei,Old HTML site — broken/down since 2019.
"Ridgeline Roofing",Roofing,Billings,Montana,USA,(406) 256-3318,Scott Halverson,Nextdoor referrals only.
"Bayshore Window Cleaning",Window Cleaning,Galveston,Texas,USA,(409) 763-8821,Travis Mouton,Flyers and door hangers.
"Meadowbrook Lawn Care",Lawn Care,Lincoln,Nebraska,USA,(402) 489-7743,Dan Svoboda,Lawn signs only.
"Sunrise Septic Services",Septic/Sewer,Ocala,Florida,USA,(352) 622-4491,Hank Dillard,Yellow Pages listing.
"Parkside Upholstery",Upholstery Repair,Sudbury,Ontario,Canada,(705) 673-9928,Marie Lapointe,Word-of-mouth only.
"Ironwood Fence Co.",Fencing,Peoria,Illinois,USA,(309) 674-5533,Mike Broderick,Craigslist ads.
"Golden Valley Dry Cleaning",Dry Cleaning,Fresno,California,USA,(559) 226-7784,Amy Chen,Walk-in traffic only.
"Prairieland Propane",Propane Delivery,Swift Current,Saskatchewan,Canada,(306) 778-3312,Wayne Gustafson,Phone orders only.
"Blue Sky Window Tinting",Window Tinting,Albuquerque,New Mexico,USA,(505) 883-6647,Rudy Montoya,Facebook only.
"Harbour City Locksmith",Locksmith,Saint John,New Brunswick,Canada,(506) 633-8814,Dale Goguen,Google Maps listing.
"Red River Trucking",Trucking/Hauling,Fargo,North Dakota,USA,(701) 235-9917,Kyle Larsen,No digital presence.
"Cedarwood Cabinet Co.",Cabinet Making,Kelowna,British Columbia,Canada,(250) 762-4481,Ron Steffens,Referrals and showroom.
"Desert Sun Irrigation",Irrigation,Tucson,Arizona,USA,(520) 790-3345,Pete Salazar,Flyers only.
"Hilltop Auto Towing",Towing,Lynchburg,Virginia,USA,(434) 528-6612,Brent Hobbs,Old Yellow Pages ad.
"Whispering Pines B&B",Bed and Breakfast,Antigonish,Nova Scotia,Canada,(902) 863-4422,Janet Flemming,No website. Phone bookings.
"Capitol City Drywall",Drywall,Olympia,Washington,USA,(360) 352-7738,Aaron Pelletier,Craigslist and referrals.
"Clover Leaf Childcare",Childcare,Guelph,Ontario,Canada,(519) 824-5591,Trish Walters,Facebook group only.
"Sunshine Janitorial",Janitorial Services,Spokane,Washington,USA,(509) 326-4417,Luz Hernandez,Flyer distribution.
"Timberline Deck Builders",Deck Building,Abbotsford,British Columbia,Canada,(604) 852-7733,Steve Klassen,Kijiji and yard signs.
"Gulf Breeze Exterminators",Pest Control,Pensacola,Florida,USA,(850) 432-6638,Bo Calhoun,Door-to-door only.
"Pinecrest Auto Electric",Auto Electrical,Fredericton,New Brunswick,Canada,(506) 458-9921,Brian Arsenault,Google Maps listing.
"Atlas Moving Co.",Moving/Hauling,Sioux Falls,South Dakota,USA,(605) 338-7741,Dave Nygaard,Craigslist and referrals.
"Old Mill Bakehouse",Bakery/Cafe,Peterborough,Ontario,Canada,(705) 742-3388,Ellen Bouchard,Facebook page only.
"Frontier Garage Doors",Garage Doors,Casper,Wyoming,USA,(307) 234-8856,Lee Workman,Yellow Pages listing.
"Pacific Tile & Stone",Tile/Flooring,Surrey,British Columbia,Canada,(604) 591-6614,Jin Park,HomeStars profile.
"Lone Pine Tree Care",Arborist/Tree Care,Flagstaff,Arizona,USA,(928) 774-5523,Chad Winfield,Nextdoor referrals.
"Keystone Concrete",Concrete/Paving,Allentown,Pennsylvania,USA,(610) 432-9947,Frank Palumbo,Word-of-mouth.
"Riverbend Dog Training",Dog Training,Moncton,New Brunswick,Canada,(506) 382-7712,Sara Leblanc,Facebook page only.
"High Plains Heating",HVAC,Amarillo,Texas,USA,(806) 352-8833,Walt Tubbs,Craigslist ads.
"Ironside Security",Security Systems,Windsor,Ontario,Canada,(519) 966-3349,Gord Turcotte,Phone book listing.
"Tidewater Photography",Photography,Norfolk,Virginia,USA,(757) 622-4461,Kim Watford,Instagram only.
"Maple Ridge Massage",Massage Therapy,Maple Ridge,British Columbia,Canada,(604) 467-5590,Wendy Cho,Jane App only.
"Valley Forge Blacksmithing",Blacksmith/Fabrication,Lancaster,Pennsylvania,USA,(717) 397-8832,Hank Stoltzfus,No digital presence.
"Cariboo Carpet Cleaning",Carpet Cleaning,Prince George,British Columbia,Canada,(250) 562-4483,Tim Bauer,Flyers only.
"Lone Star Bookkeeping",Bookkeeping,Lubbock,Texas,USA,(806) 763-9918,Cynthia Ramirez,Yellow Pages listing.
"Pineview Kennel",Boarding Kennel,Charlottetown,PEI,Canada,(902) 892-7741,Patty MacPhee,Word-of-mouth only.
"Mountain High Chimney",Chimney Sweep,Colorado Springs,Colorado,USA,(719) 633-5577,Rex Dunnigan,Flyer-based only.
"Sunbelt Pool & Spa",Pool/Spa Service,Bakersfield,California,USA,(661) 324-7763,Gary Rios,Postcards and flyers.
"Northgate Flooring",Flooring Installation,Saskatoon,Saskatchewan,Canada,(306) 955-4412,Alan Kozak,HomeStars and referrals.
"Ironwood Welding",Welding,Duluth,Minnesota,USA,(218) 728-3346,Terry Magnuson,No digital presence.
"Blue Ridge Auto Detail",Auto Detailing,Asheville,North Carolina,USA,(828) 252-6631,Travis Hughes,Facebook page.
"Prairie Sky Catering",Catering,Regina,Saskatchewan,Canada,(306) 789-4422,Donna Sawchuk,The Knot listing only.
"Pinehurst Pet Clinic",Veterinarian,Pinehurst,North Carolina,USA,(910) 295-7743,Dr. Bill Farnsworth,Google Maps only.
"Bayview Blinds & Shutters",Window Coverings,Nanaimo,British Columbia,Canada,(250) 756-9931,Gail Horton,Kijiji ads.
"Ozark Painting Co.",Painting,Springfield,Missouri,USA,(417) 882-4467,Doug Hartley,Yard signs and referrals.
"North Star Plumbing",Plumbing,Sault Ste. Marie,Ontario,Canada,(705) 942-7723,Rick Lavigne,HomeStars only.
"Cypress Cove Catering",Catering,Baton Rouge,Louisiana,USA,(225) 763-8812,Lorraine Fontenot,Facebook page.
"Eagle Ridge Electricians",Electrician,Kamloops,British Columbia,Canada,(250) 372-9934,Frank Bertoia,Word-of-mouth.
"Sunset Strip Auto",Auto Repair,Las Vegas,Nevada,USA,(702) 382-4491,Hector Vega,Yelp listing only.
"Great Plains Welding",Welding,Wichita,Kansas,USA,(316) 262-7741,Jerry Olson,No online presence.
"Harbour View Painting",Painting,Dartmouth,Nova Scotia,Canada,(902) 462-3318,Craig Doyle,Kijiji and referrals.
"Midlands Pest Control",Pest Control,Columbia,South Carolina,USA,(803) 252-9944,Bubba Yarborough,Door-to-door only.
"Birchwood Piano Tuning",Piano Tuning,Winnipeg,Manitoba,Canada,(204) 489-7712,Arthur Kowalchuk,Word-of-mouth. No web.
"Ridgeline Roofing",Roofing,Spokane,Washington,USA,(509) 534-4477,Brad Meyers,Craigslist only.
"Copper Canyon HVAC",HVAC,Phoenix,Arizona,USA,(602) 274-8839,Mike Delgado,Google Maps only.
"Cottage Country Cleaning",Cleaning Services,Bracebridge,Ontario,Canada,(705) 645-3392,Lisa Perdue,Facebook page only.
"Diamond Glass & Mirror",Glass/Mirror,Salt Lake City,Utah,USA,(801) 532-6614,Stan Christensen,Yellow Pages listing.
"Crossroads Barbershop",Barbershop,Oklahoma City,Oklahoma,USA,(405) 236-8821,James Whitfield,Facebook check-ins.
"Spruce Ridge Tree Service",Tree Service,Red Deer,Alberta,Canada,(403) 342-7733,Gary Pedersen,Kijiji ads.
"Lakeshore Landscaping",Landscaping,Erie,Pennsylvania,USA,(814) 454-9923,Nick Salvatore,Lawn signs only.
"Creekside Cabinetry",Cabinet Making,Chilliwack,British Columbia,Canada,(604) 792-5547,Dave Friesen,Referrals only.
"Coastal Car Detailing",Auto Detailing,Wilmington,North Carolina,USA,(910) 763-4491,Marcus Howell,Instagram only.
"Open Range Pest Control",Pest Control,Billings,Montana,USA,(406) 248-6633,Jim Halverson,Door-to-door flyers.
"Evergreen Cleaning Co.",Cleaning Services,Eugene,Oregon,USA,(541) 342-8812,Pat Nguyen,Craigslist ads.
"Sunset Hills Electrician",Electrician,St. Louis,Missouri,USA,(314) 487-3344,Rob Hackmann,Angie's List only.
"Broad Street Alterations",Tailoring,Columbus,Ohio,USA,(614) 224-7789,Ying Zhang,Word-of-mouth.
"Lakeside Dog Grooming",Dog Grooming,Kingston,Ontario,Canada,(613) 542-9917,Donna Brant,Facebook page only.
"Tundra Tech Phone Repair",Phone Repair,Yellowknife,NWT,Canada,(867) 669-3312,Calvin Mercredi,No website. Walk-in.
"High Desert Solar",Solar Installation,Santa Fe,New Mexico,USA,(505) 984-7741,Carlos Romero,No website yet.
"Iron Horse Auto Repair",Auto Repair,Cheyenne,Wyoming,USA,(307) 638-4466,Cody Roper,Google Maps listing.
"Bayou Pool Service",Pool Maintenance,New Orleans,Louisiana,USA,(504) 488-9923,Earl Thibodeaux,Postcards only.
"Willow Creek Bakery",Bakery,Fort Collins,Colorado,USA,(970) 221-8837,Susan Birdsall,Farmers market vendor.
"Coastal Concrete",Concrete,Myrtle Beach,South Carolina,USA,(843) 626-4412,Bobby Hooks,Craigslist ads.
"Arctic Air Heating",HVAC,Grande Prairie,Alberta,Canada,(780) 532-7729,Ken Rondeau,Kijiji only.
"Lakewood Landscaping",Landscaping,Tacoma,Washington,USA,(253) 472-6634,Jose Gutierrez,Door-to-door flyers.
"Riverton Fence & Gate",Fencing,Boise,Idaho,USA,(208) 342-8814,Lance Proctor,Nextdoor referrals.
"Hillside Drywalling",Drywall,Lethbridge,Alberta,Canada,(403) 382-5521,Marc Robillard,Kijiji and referrals.
"Bayfront Glass",Glass/Windows,Mobile,Alabama,USA,(251) 476-3347,Tommy Ladnier,Yellow Pages listing.
"Northern Comfort Insulation",Insulation,Thunder Bay,Ontario,Canada,(807) 767-4488,Frank Peltier,Word-of-mouth.
"Sunset Mowing",Lawn Care,Tallahassee,Florida,USA,(850) 878-3312,Darnell Brown,Flyers and referrals.
"Sagebrush Septic",Septic Services,Reno,Nevada,USA,(775) 323-7744,Wes Fitzpatrick,Phone book only.
"Prairie Rose Pet Grooming",Pet Grooming,Lethbridge,Alberta,Canada,(403) 320-8833,Jackie Munn,Facebook page only.
"Citadel Security",Security Systems,Halifax,Nova Scotia,Canada,(902) 422-6617,Peter Langille,Phone book listing.
"Crosstown Plumbing",Plumbing,Memphis,Tennessee,USA,(901) 527-4421,Earl Jackson,Craigslist ads.
"Alpine Tile & Grout",Tile Cleaning/Repair,Denver,Colorado,USA,(303) 777-8834,Aaron Kowalski,No online presence.
"Cedar Valley Carpet",Carpet Cleaning,Waterloo,Ontario,Canada,(519) 886-3347,Tim Henhoeffer,Flyers only.
"Palmetto Pressure Washing",Pressure Washing,Columbia,South Carolina,USA,(803) 781-6622,Shawn Fender,Door-to-door flyers.
"Two Rivers Auto Body",Auto Body,Kamloops,British Columbia,Canada,(250) 851-7731,Dale Mclachlan,Google Maps only.
"Oak Grove Electrical",Electrician,Peoria,Illinois,USA,(309) 682-3318,Mark Janssen,Angie's List profile.
"Thunderbird Roofing",Roofing,Albuquerque,New Mexico,USA,(505) 345-8841,Roberto Trujillo,Craigslist ads.
"Maritime Massage Therapy",Massage Therapy,Moncton,New Brunswick,Canada,(506) 857-9923,Nicole Chiasson,Jane App only.
"Riverside Tattoo",Tattoo Parlour,Riverside,California,USA,(951) 683-4472,Danny Ruiz,Instagram only.
"Harvest Time Catering",Catering,Harrisburg,Pennsylvania,USA,(717) 234-9917,Barb Hess,Word-of-mouth.
"Blue Mountain Hardwood",Hardwood Flooring,Nelson,British Columbia,Canada,(250) 352-6633,Lyle Gustafson,HomeStars only.
"Borderline Landscaping",Landscaping,El Paso,Texas,USA,(915) 858-4411,Jorge Fierro,Flyers only.
"Northern Trim Carpentry",Carpentry/Trim,Timmins,Ontario,Canada,(705) 267-8821,Paul Larocque,Word-of-mouth.
"Tidelands Pest Control",Pest Control,Wilmington,North Carolina,USA,(910) 343-7747,Bill Heffron,Door-to-door.
"Sundance Photography",Photography,Tulsa,Oklahoma,USA,(918) 582-3388,Ashley Morgan,Facebook page only.
"Coastal Chiropractic",Chiropractor,Nanaimo,British Columbia,Canada,(250) 754-9944,Dr. Rob Chu,Jane App only. No site.
"Southern Charm Cleaning",Cleaning Services,Birmingham,Alabama,USA,(205) 328-6634,Rhonda Calhoun,Flyer-based only.
"Ridgeline Masonry",Masonry,Salt Lake City,Utah,USA,(801) 974-3322,Seth Andersen,Referrals and HomeStars.
"Flatland Auto Service",Auto Repair,Saskatoon,Saskatchewan,Canada,(306) 665-7712,Darren Bodnarchuk,Google Maps only.
"Shoreline Landscaping",Landscaping,Portsmouth,New Hampshire,USA,(603) 431-8847,Rob Gagnon,Lawn signs.
"Frontier Fencing",Fencing,Great Falls,Montana,USA,(406) 453-7721,Cal Bergstrom,No digital presence.
"Riverbend HVAC",HVAC,Chattanooga,Tennessee,USA,(423) 698-4412,Doug Swafford,Old Yellow Pages ad.
"Suncoast Window Cleaning",Window Cleaning,Sarasota,Florida,USA,(941) 366-8831,Phil Marchand,Flyers and referrals.
"Clearwater Plumbing",Plumbing,Kelowna,British Columbia,Canada,(250) 860-3349,Ed Vanderhoef,HomeStars profile.
"Heartland Bookkeeping",Bookkeeping,Des Moines,Iowa,USA,(515) 283-9944,Barb Simmons,Yellow Pages listing.
"Lake Country Dog Grooming",Dog Grooming,Vernon,British Columbia,Canada,(250) 542-6621,Kim Senger,Facebook page only.
"Iron Gate Security",Security Systems,Winnipeg,Manitoba,Canada,(204) 786-4433,Vic Sokolowski,No website.
"Bayou Bookkeeping",Bookkeeping,Shreveport,Louisiana,USA,(318) 865-7712,Ellen Broussard,Yellow Pages listing.
"Aspen Tree Service",Tree Service,Aspen,Colorado,USA,(970) 925-3312,Clark Whitmore,Nextdoor referrals.
"Crossroads Carpet Care",Carpet Cleaning,Wichita,Kansas,USA,(316) 685-4488,Tom Schroeder,Flyers only.
"Harbor Light Photography",Photography,Burlington,Vermont,USA,(802) 862-7734,Jen Lamothe,Instagram only.
"Valley Fence Co.",Fencing,Yakima,Washington,USA,(509) 248-3347,Russ Ortega,No digital presence.
"Northland Cleaning",Cleaning Services,Sault Ste. Marie,Ontario,Canada,(705) 254-8821,Brenda Syrette,Referrals only.
"Hillcrest Painting",Painting,Knoxville,Tennessee,USA,(865) 637-4412,Johnny Sexton,Craigslist ads.
"Sunset Chimney Services",Chimney Sweep,Bozeman,Montana,USA,(406) 586-7723,Rick Trembath,Flyers.
"First Choice Moving",Moving,Sudbury,Ontario,Canada,(705) 560-3388,Marco Belanger,Kijiji ads.
"Riverbend Electrical",Electrician,Eau Claire,Wisconsin,USA,(715) 836-9923,Tim Rasmussen,No digital presence.
"Lakeside Photo Studio",Photography,Barrie,Ontario,Canada,(705) 737-4461,Angela Tomlin,Facebook page only.
"Sunny Day Landscaping",Landscaping,Phoenix,Arizona,USA,(602) 439-7735,Miguel Sandoval,Door-to-door flyers.
"Clearwater Pool Service",Pool Maintenance,Tampa,Florida,USA,(813) 876-4492,Joey Caputo,Postcards.
"Prairie View Chiropractic",Chiropractor,Brandon,Manitoba,Canada,(204) 728-9917,Dr. Kelly Wiebe,No website.
"Blue Collar Concrete",Concrete,Toledo,Ohio,USA,(419) 243-6631,Sal Kowalski,Word-of-mouth.
"Harbor City Auto Glass",Auto Glass,Portland,Maine,USA,(207) 772-8843,Pete Arsenault,Craigslist ads.
"Sunridge Renovations",General Contracting,Calgary,Alberta,Canada,(403) 280-7741,Bill Seniuk,Kijiji and referrals.
"Tidewater Tattoo",Tattoo Parlour,Virginia Beach,Virginia,USA,(757) 428-6634,Shaun Bradshaw,Instagram only.
"Cornerstone Cleaning",Cleaning Services,Allentown,Pennsylvania,USA,(610) 776-4422,Maria Santos,Flyer distribution.
"Prairie Fire BBQ Catering",Catering,Wichita,Kansas,USA,(316) 838-9917,Roy Stuckey,Facebook page only.
"Lakeside Tile & Stone",Tile/Flooring,Thunder Bay,Ontario,Canada,(807) 623-8833,Dan Picard,HomeStars profile.
"Ridgeline Electrical",Electrician,Roanoke,Virginia,USA,(540) 981-7744,Gary Moyer,Angie's List only.
"Mountain View Massage",Massage Therapy,Missoula,Montana,USA,(406) 549-4412,Carrie Bowen,Jane App only.
"Coastal Concrete Curbing",Concrete Curbing,Jacksonville,Florida,USA,(904) 384-6618,Dale Combs,Door-to-door flyers.
"Northern Exposure Photography",Photography,Whitehorse,Yukon,Canada,(867) 668-3321,Sean McGee,Instagram only.
"Ridgeline Roofing & Siding",Roofing/Siding,Grand Rapids,Michigan,USA,(616) 241-8847,Tim Bakker,No digital presence.
"Sagebrush Landscaping",Landscaping,Boise,Idaho,USA,(208) 344-7739,Alan Hatch,Door-to-door flyers.
"Ironwood Auto Body",Auto Body,Ironwood,Michigan,USA,(906) 932-3347,Steve Luoma,Google Maps listing.
"Sunrise Senior Care",Senior Home Care,London,Ontario,Canada,(519) 455-7743,Joan Ference,No website. Word-of-mouth.
"Blue Ridge HVAC",HVAC,Roanoke,Virginia,USA,(540) 362-4488,Sam Haymore,Old Yellow Pages ad.
"Pacific Paving Co.",Paving/Asphalt,Langley,British Columbia,Canada,(604) 534-8823,Ed Tychkowski,Kijiji and referrals.
"Desert Bloom Florist",Florist,Las Vegas,Nevada,USA,(702) 458-3314,Patty Reyes,Phone orders only.
"River Road Tattoo",Tattoo Parlour,Baton Rouge,Louisiana,USA,(225) 924-7781,Brandon Thibodaux,Instagram only.
"Ridgeline Piano Tuning",Piano Tuning,Victoria,British Columbia,Canada,(250) 477-8812,Robert Chow,Word-of-mouth.
"Southern Roots Catering",Catering,Savannah,Georgia,USA,(912) 234-6643,Charlene Whitfield,Word-of-mouth.
"Hillcrest Dog Grooming",Dog Grooming,Hamilton,Ontario,Canada,(905) 575-3391,Laura Vink,Facebook page only.
"Big Sky Irrigation",Irrigation,Great Falls,Montana,USA,(406) 771-4421,Ross Schuler,No digital presence.
"Cedarwood Cleaning Services",Cleaning Services,Victoria,British Columbia,Canada,(250) 479-3347,Janet Holbrook,Referrals only.
"Brookside Bookkeeping",Bookkeeping,Lansing,Michigan,USA,(517) 372-6634,Diane Kappler,Yellow Pages listing.
"Rocky Road Paving",Paving/Asphalt,Missoula,Montana,USA,(406) 543-9911,Dale Ingram,Craigslist ads.
"Coastal Cuts Barbershop",Barbershop,Savannah,Georgia,USA,(912) 355-7742,Darius Freeman,Facebook check-ins.
"Garden State Pest Control",Pest Control,Trenton,New Jersey,USA,(609) 393-8823,Sal Mancini,Door-to-door flyers.
"Lakefront Landscaping",Landscaping,Green Bay,Wisconsin,USA,(920) 435-4491,John Pasternak,Lawn signs.
"Prairie Wind Photography",Photography,Saskatoon,Saskatchewan,Canada,(306) 652-7738,Mel Kowalczyk,Instagram only.
"Silver Creek Plumbing",Plumbing,Reno,Nevada,USA,(775) 826-4433,Dennis Foley,Yelp listing.
"Ridgecrest Renovations",Renovations,Nanaimo,British Columbia,Canada,(250) 758-9941,Gord McLeod,Kijiji and word-of-mouth.
"Desert View Pool Service",Pool Maintenance,Albuquerque,New Mexico,USA,(505) 872-6634,Rick Trujillo,Postcards only.
"Harbor Lights Electrical",Electrician,Portland,Maine,USA,(207) 774-3346,Greg St. Pierre,No website.
"Valley Oaks Lawn Care",Lawn Care,Stockton,California,USA,(209) 478-8832,Ray Montes,Flyers only.
